date,us_10_year_yields,us_5_year_yields,us_1_year_yields,us_6_month_yields,us_3_month_yield,debt_to_gdp,deficit_as_percent_of_gdp,daily_ftse_divedend_yield,daily_us_real_gdp
2000-01-03,6.58,6.5,6.09,5.81,5.48,57.72134,2.30458,0.0209,0.0209
2000-01-04,6.49,6.4,6.00,5.75,5.43,57.72134,2.30458,0.0209,0.0209
2000-01-05,6.62,6.51,6.05,5.74,5.44,57.72134,2.30458,0.0209,0.0209
2000-01-06,6.57,6.46,6.03,5.69,5.41,57.72134,2.30458,0.0209,0.0209
2000-01-07,6.52,6.42,6.00,5.66,5.38,57.72134,2.30458,0.0209,0.0209
2000-01-10,6.57,6.49,6.07,5.64,5.42,57.72134,2.30458,0.0209,0.0209
2000-01-11,6.67,6.57,6.13,5.66,5.43,57.72134,2.30458,0.0209,0.0209
2000-01-12,6.72,6.63,6.16,5.70,5.45,57.72134,2.30458,0.0209,0.0209
2000-01-13,6.63,6.54,6.10,5.66,5.41,57.72134,2.30458,0.0209,0.0209
2000-01-14,6.69,6.59,6.13,5.69,5.41,57.72134,2.30458,0.0209,0.0209
2000-01-18,6.75,6.65,6.15,5.79,5.56,57.72134,2.30458,0.0209,0.0209
2000-01-19,6.73,6.62,6.12,5.78,5.51,57.72134,2.30458,0.0209,0.0209
2000-01-20,6.79,6.67,6.13,5.84,5.48,57.72134,2.30458,0.0209,0.0209
2000-01-21,6.79,6.67,6.12,5.83,5.47,57.72134,2.30458,0.0209,0.0209
2000-01-24,6.69,6.59,6.13,5.77,5.55,57.72134,2.30458,0.0209,0.0209
2000-01-25,6.7,6.6,6.13,5.78,5.57,57.72134,2.30458,0.0209,0.0209
2000-01-26,6.69,6.62,6.15,5.78,5.58,57.72134,2.30458,0.0209,0.0209
2000-01-27,6.68,6.67,6.19,5.79,5.59,57.72134,2.30458,0.0209,0.0209
2000-01-28,6.66,6.68,6.25,5.86,5.65,57.72134,2.30458,0.0209,0.0209
2000-01-31,6.68,6.71,6.30,5.97,5.76,57.72134,2.30458,0.0209,0.0209
2000-02-01,6.62,6.68,6.30,5.95,5.71,57.72134,2.30458,0.0209,0.0209
2000-02-02,6.6,6.69,6.24,5.94,5.66,57.72134,2.30458,0.0209,0.0209
2000-02-03,6.49,6.56,6.16,5.86,5.63,57.72134,2.30458,0.0209,0.0209
2000-02-04,6.53,6.64,6.19,5.94,5.67,57.72134,2.30458,0.0209,0.0209
2000-02-07,6.64,6.76,6.23,6.04,5.72,57.72134,2.30458,0.0209,0.0209
2000-02-08,6.59,6.74,6.22,6.02,5.69,57.72134,2.30458,0.0209,0.0209
2000-02-09,6.56,6.77,6.20,5.99,5.66,57.72134,2.30458,0.0209,0.0209
2000-02-10,6.67,6.78,6.20,5.98,5.67,57.72134,2.30458,0.0209,0.0209
2000-02-11,6.63,6.77,6.17,5.98,5.66,57.72134,2.30458,0.0209,0.0209
2000-02-14,6.56,6.72,6.19,6.04,5.68,57.72134,2.30458,0.0209,0.0209
2000-02-15,6.56,6.74,6.20,6.01,5.75,57.72134,2.30458,0.0209,0.0209
2000-02-16,6.56,6.75,6.22,6.00,5.73,57.72134,2.30458,0.0209,0.0209
2000-02-17,6.58,6.76,6.28,6.03,5.74,57.72134,2.30458,0.0209,0.0209
2000-02-18,6.49,6.72,6.26,6.02,5.75,57.72134,2.30458,0.0209,0.0209
2000-02-22,6.36,6.62,6.22,6.03,5.82,57.72134,2.30458,0.0209,0.0209
2000-02-23,6.44,6.66,6.27,6.03,5.82,57.72134,2.30458,0.0209,0.0209
2000-02-24,6.36,6.56,6.22,6.02,5.81,57.72134,2.30458,0.0209,0.0209
2000-02-25,6.36,6.5,6.18,5.99,5.79,57.72134,2.30458,0.0209,0.0209
2000-02-28,6.37,6.53,6.21,6.02,5.80,57.72134,2.30458,0.0209,0.0209
2000-02-29,6.42,6.61,6.20,6.02,5.78,57.72134,2.30458,0.0209,0.0209
2000-03-01,6.39,6.59,6.17,6.02,5.76,57.72134,2.30458,0.0209,0.0209
2000-03-02,6.4,6.59,6.19,6.03,5.76,57.72134,2.30458,0.0209,0.0209
2000-03-03,6.39,6.6,6.15,6.02,5.79,57.72134,2.30458,0.0209,0.0209
2000-03-06,6.42,6.64,6.20,6.08,5.85,57.72134,2.30458,0.0209,0.0209
2000-03-07,6.39,6.6,6.17,6.07,5.83,57.72134,2.30458,0.0209,0.0209
2000-03-08,6.38,6.59,6.17,6.09,5.83,57.72134,2.30458,0.0209,0.0209
2000-03-09,6.35,6.56,6.15,6.06,5.82,57.72134,2.30458,0.0209,0.0209
2000-03-10,6.39,6.61,6.21,6.11,5.87,57.72134,2.30458,0.0209,0.0209
2000-03-13,6.36,6.57,6.21,6.13,5.89,57.72134,2.30458,0.0209,0.0209
2000-03-14,6.31,6.52,6.20,6.12,5.87,57.72134,2.30458,0.0209,0.0209
2000-03-15,6.29,6.5,6.21,6.12,5.85,57.72134,2.30458,0.0209,0.0209
2000-03-16,6.26,6.47,6.20,6.11,5.87,57.72134,2.30458,0.0209,0.0209
2000-03-17,6.2,6.45,6.20,6.13,5.89,57.72134,2.30458,0.0209,0.0209
2000-03-20,6.18,6.45,6.23,6.17,5.95,57.72134,2.30458,0.0209,0.0209
2000-03-21,6.13,6.44,6.22,6.13,5.91,57.72134,2.30458,0.0209,0.0209
2000-03-22,6.13,6.41,6.21,6.11,5.91,57.72134,2.30458,0.0209,0.0209
2000-03-23,6.08,6.39,6.23,6.12,5.90,57.72134,2.30458,0.0209,0.0209
